DATENUM_EXCEL,MATLAB_DATENUM,TMPC
40200.43958,735622.4396,1.7
40200.48125,735622.4813,1.7
40200.52292,735622.5229,2.2
40200.56458,735622.5646,2.2
40200.60625,735622.6063,1.7
40200.64792,735622.6479,1.7
40200.68958,735622.6896,1.7
40200.73125,735622.7313,1.7
40200.77292,735622.7729,1.7
40200.81458,735622.8146,1.7
40200.85625,735622.8563,1.7
40200.89792,735622.8979,1.1
40200.93958,735622.9396,1.7
40200.98125,735622.9813,1.7
40201.02292,735623.0229,1.7
40201.06458,735623.0646,1.7
40201.10625,735623.1063,1.1
40201.14792,735623.1479,1.7
40201.18958,735623.1896,1.7
40201.23125,735623.2313,1.1
40201.27292,735623.2729,1.7
40201.31458,735623.3146,1.7
40201.35625,735623.3563,1.7
40201.39792,735623.3979,2.2
40201.43958,735623.4396,1.1
40201.48125,735623.4813,1.7
40201.52292,735623.5229,1.7
40201.56458,735623.5646,0.6
40201.60625,735623.6063,0
40201.64792,735623.6479,0.6
40201.68958,735623.6896,0.6
40201.73125,735623.7313,0.6
40201.77292,735623.7729,0.6
40201.81458,735623.8146,0.6
40201.85625,735623.8563,1.1
40201.89792,735623.8979,1.1
40201.93958,735623.9396,1.7
40201.98125,735623.9813,2.2
40202.02292,735624.0229,3.3
40202.06458,735624.0646,3.9
40202.10625,735624.1063,5
40202.14792,735624.1479,6.1
40202.18958,735624.1896,6.7
40202.23125,735624.2313,6.1
40202.27292,735624.2729,6.7
40202.31458,735624.3146,6.7
40202.35625,735624.3563,7.2
40202.39792,735624.3979,6.7
40202.43958,735624.4396,7.2
40202.48125,735624.4813,7.8
40202.52292,735624.5229,7.8
40202.56458,735624.5646,8.9
40202.60625,735624.6063,8.9
40202.64792,735624.6479,8.9
40202.68958,735624.6896,8.9
40202.73125,735624.7313,7.8
40202.77292,735624.7729,7.2
40202.81458,735624.8146,7.2
40202.85625,735624.8563,6.1
40202.89792,735624.8979,6.1
40202.93958,735624.9396,6.7
40202.98125,735624.9813,6.7
40203.02292,735625.0229,6.7
40203.06458,735625.0646,6.1
40203.10625,735625.1063,6.1
40203.14792,735625.1479,6.1
40203.18958,735625.1896,6.1
40203.23125,735625.2313,6.1
40203.27292,735625.2729,6.7
40203.31458,735625.3146,6.1
40203.35625,735625.3563,5.6
40203.39792,735625.3979,5.6
40203.43958,735625.4396,6.1
40203.48125,735625.4813,6.7
40203.52292,735625.5229,7.2
40203.56458,735625.5646,7.8
40203.60625,735625.6063,7.2
40203.64792,735625.6479,5.6
40203.68958,735625.6896,7.2
40203.73125,735625.7313,7.8
40203.77292,735625.7729,7.2
40203.81458,735625.8146,7.8
40203.85625,735625.8563,7.8
40203.89792,735625.8979,7.2
40203.93958,735625.9396,6.1
40203.98125,735625.9813,6.1
40204.02292,735626.0229,6.1
40204.06458,735626.0646,5.6
40204.10625,735626.1063,6.1
40204.14792,735626.1479,6.1
40204.18958,735626.1896,6.1
40204.23125,735626.2313,5.6
40204.27292,735626.2729,5
40204.31458,735626.3146,5
40204.35625,735626.3563,4.4
40204.39792,735626.3979,5
40204.43958,735626.4396,5.6
40204.48125,735626.4813,3.9
40204.52292,735626.5229,5
40204.56458,735626.5646,4.4
40204.60625,735626.6063,6.1
40204.64792,735626.6479,6.7
40204.68958,735626.6896,5.6
40204.73125,735626.7313,5.6
40204.77292,735626.7729,5.6
40204.81458,735626.8146,5.6
40204.85625,735626.8563,4.4
40204.89792,735626.8979,3.9
40204.93958,735626.9396,3.3
40204.98125,735626.9813,3.3
40205.02292,735627.0229,3.3
40205.06458,735627.0646,3.3
40205.10625,735627.1063,3.3
40205.14792,735627.1479,2.2
40205.18958,735627.1896,1.7
40205.23125,735627.2313,2.2
40205.27292,735627.2729,2.2
40205.31458,735627.3146,2.2
40205.35625,735627.3563,2.2
40205.39792,735627.3979,1.1
40205.43958,735627.4396,1.1
40205.48125,735627.4813,1.1
40205.52292,735627.5229,0.6
40205.56458,735627.5646,0
40205.60625,735627.6063,0
40205.64792,735627.6479,-0.6
40205.68958,735627.6896,0
40205.73125,735627.7313,-0.6
40205.77292,735627.7729,-0.6
40205.81458,735627.8146,-1.1
40205.85625,735627.8563,-1.1
40205.89792,735627.8979,-1.7
40205.93958,735627.9396,-1.7
40205.98125,735627.9813,-1.7
40206.02292,735628.0229,-1.7
40206.06458,735628.0646,-2.2
40206.10625,735628.1063,-2.2
40206.14792,735628.1479,-2.2
40206.18958,735628.1896,-2.8
40206.23125,735628.2313,-3.3
40206.27292,735628.2729,-3.3
40206.31458,735628.3146,-3.3
40206.35625,735628.3563,-3.3
40206.39792,735628.3979,-3.3
40206.43958,735628.4396,-3.9
40206.48125,735628.4813,-3.3
40206.52292,735628.5229,-2.8
40206.56458,735628.5646,-3.9
40206.60625,735628.6063,-2.8
40206.64792,735628.6479,-2.8
40206.68958,735628.6896,-2.8
40206.73125,735628.7313,-3.9
40206.77292,735628.7729,-4.4
40206.81458,735628.8146,-4.4
40206.85625,735628.8563,-5
40206.89792,735628.8979,-5
40206.93958,735628.9396,-5.6
40206.98125,735628.9813,-5.6
40207.02292,735629.0229,-5.6
40207.06458,735629.0646,-6.1
40207.10625,735629.1063,-6.1
40207.14792,735629.1479,-6.1
40207.18958,735629.1896,-6.7
40207.23125,735629.2313,-6.1
40207.27292,735629.2729,-6.1
40207.31458,735629.3146,-5.6
40207.35625,735629.3563,-5
40207.39792,735629.3979,-5
40207.43958,735629.4396,-5.6
40207.48125,735629.4813,-5.6
40207.52292,735629.5229,-5.6
40207.56458,735629.5646,-5
40207.60625,735629.6063,-5
40207.64792,735629.6479,-5
40207.68958,735629.6896,-5
40207.73125,735629.7313,-6.1
40207.77292,735629.7729,-6.7
40207.81458,735629.8146,-7.2
40207.85625,735629.8563,-7.2
40207.89792,735629.8979,-7.2
40207.93958,735629.9396,-7.2
40207.98125,735629.9813,-7.8
40208.02292,735630.0229,-8.3
40208.06458,735630.0646,-8.3
40208.10625,735630.1063,-8.3
40208.14792,735630.1479,-8.9
40208.18958,735630.1896,-8.9
40208.23125,735630.2313,-8.9
40208.27292,735630.2729,-9.4
40208.31458,735630.3146,-9.4
40208.35625,735630.3563,-10
40208.39792,735630.3979,-10
40208.43958,735630.4396,-10
40208.48125,735630.4813,-9.4
40208.52292,735630.5229,-8.9
40208.56458,735630.5646,-8.9
40208.60625,735630.6063,-8.9
40208.64792,735630.6479,-8.9
40208.68958,735630.6896,-8.9
40208.73125,735630.7313,-10
40208.77292,735630.7729,-10.6
40208.81458,735630.8146,-11.1
40208.85625,735630.8563,-11.1
40208.89792,735630.8979,-11.1
40208.93958,735630.9396,-11.1
40208.98125,735630.9813,-11.7
40209.02292,735631.0229,-11.1
40209.06458,735631.0646,-11.1
40209.10625,735631.1063,-11.1
40209.14792,735631.1479,-11.1
40209.18958,735631.1896,-11.1
40209.23125,735631.2313,-10.6
40209.27292,735631.2729,-10
40209.31458,735631.3146,-10
40209.35625,735631.3563,-10.6
40209.39792,735631.3979,-10.6
40209.43958,735631.4396,-10.6
40209.48125,735631.4813,-9.4
40209.52292,735631.5229,-8.9
40209.56458,735631.5646,-8.3
40209.60625,735631.6063,-8.3
40209.64792,735631.6479,-10
40209.68958,735631.6896,-10.6
40209.73125,735631.7313,-10
40209.77292,735631.7729,-10
40209.81458,735631.8146,-10
40209.85625,735631.8563,-9.4
40209.89792,735631.8979,-9.4
40209.93958,735631.9396,-9.4
40209.98125,735631.9813,-10.6
40210.02292,735632.0229,-10
40210.06458,735632.0646,-10.6
40210.10625,735632.1063,-11.1
40210.14792,735632.1479,-10.6
40210.18958,735632.1896,-10.6
40210.23125,735632.2313,-10.6
40210.27292,735632.2729,-10.6
40210.31458,735632.3146,-10.6
40210.35625,735632.3563,-10
40210.39792,735632.3979,-10
40210.43958,735632.4396,-9.4
40210.48125,735632.4813,-7.8
40210.52292,735632.5229,-7.2
40210.56458,735632.5646,-7.2
40210.60625,735632.6063,-8.3
40210.64792,735632.6479,-7.8
40210.68958,735632.6896,-8.9
40210.73125,735632.7313,-8.9
40210.77292,735632.7729,-8.9
40210.81458,735632.8146,-8.3
40210.85625,735632.8563,-8.3
40210.89792,735632.8979,-8.3
40210.93958,735632.9396,-8.9
40210.98125,735632.9813,-9.4
40211.02292,735633.0229,-9.4
40211.06458,735633.0646,-7.2
40211.10625,735633.1063,-7.8
40211.14792,735633.1479,-8.3
40211.18958,735633.1896,-8.3
40211.23125,735633.2313,-7.8
40211.27292,735633.2729,-8.9
40211.31458,735633.3146,-7.8
40211.35625,735633.3563,-7.8
40211.39792,735633.3979,-7.8
40211.43958,735633.4396,-7.8
40211.48125,735633.4813,-6.1
40211.52292,735633.5229,-6.1
40211.56458,735633.5646,-6.1
40211.60625,735633.6063,-6.1
40211.64792,735633.6479,-5.6
40211.68958,735633.6896,-6.1
40211.73125,735633.7313,-6.7
40211.77292,735633.7729,-7.2
40211.81458,735633.8146,-7.8
40211.85625,735633.8563,-7.8
40211.89792,735633.8979,-7.8
40211.93958,735633.9396,-8.3
40211.98125,735633.9813,-8.9
40212.02292,735634.0229,-8.3
40212.06458,735634.0646,-8.3
40212.10625,735634.1063,-8.9
40212.14792,735634.1479,-8.9
40212.18958,735634.1896,-8.3
40212.23125,735634.2313,-8.3
40212.27292,735634.2729,-8.9
40212.31458,735634.3146,-8.9
40212.35625,735634.3563,-8.9
40212.39792,735634.3979,-8.9
40212.43958,735634.4396,-8.9
40212.48125,735634.4813,-8.3
40212.52292,735634.5229,-7.8
40212.56458,735634.5646,-7.8
40212.60625,735634.6063,-6.7
40212.64792,735634.6479,-6.7
40212.68958,735634.6896,-6.7
40212.73125,735634.7313,-7.8
40212.77292,735634.7729,-9.4
40212.81458,735634.8146,-9.4
40212.85625,735634.8563,-9.4
40212.89792,735634.8979,-10
